RECTYPE,YEAR,CASEID,REGION,STATEFIP,MSASIZE,FAMINCOME,HH_SIZE,POVERTY130,POVERTY185,HH_CHILD,AGEYCHILD,HH_NUMADULTS,PERNUM,LINENO,WT06,AGE,SEX,RACE,MARST,GENHEALTH,BMI,EDUC,EDUCYRS,VETSTAT,MULTJOBS,OCC2,FULLPART,UHRSWORKT,SPEMPNOT,PED,WBLADDER,ACT_FOOD,ACT_PCARE,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_TRAVEL,ACT_WORK
1,2012,2.01201E+13,1,9,4,16,6,,,1,16,5,1,1,8917762.435,20,2,110,6,1,,30,213,2,99,9999,99,9999,99,,8,119,700,0,150,0,2,0
1,2012,2.01201E+13,3,47,5,10,2,,,0,999,2,1,1,11316036.03,74,1,100,1,4,,21,112,2,99,9999,99,9999,0,,5,75,490,0,560,0,165,0
1,2012,2.01201E+13,4,15,0,4,1,,,0,999,1,1,1,1674012.031,70,2,320,3,3,,40,318,2,99,9999,99,9999,99,,10,30,550,0,235,60,0,0
1,2012,2.01201E+13,2,26,6,15,2,,,1,16,1,1,1,3972300.267,53,2,100,6,1,,41,318,2,0,125,1,40,99,,7,39,495,0,175,0,85,441
1,2012,2.01201E+13,3,22,5,7,1,,,0,999,1,1,1,1000811.934,61,2,110,6,4,,30,214,1,99,9999,99,9999,99,,8,20,606,146,436,75,120,0
1,2012,2.01201E+13,2,27,6,14,5,,,1,1,2,1,1,5725377.003,37,2,100,1,2,,41,319,2,0,125,1,50,1,,9,45,465,0,110,0,70,545
1,2012,2.01201E+13,2,18,0,5,1,,,0,999,1,1,1,1794358.848,60,2,100,3,5,,41,319,2,99,9999,99,9999,99,,4,50,35,0,1190,0,0,0
1,2012,2.01201E+13,3,12,7,15,4,,,1,17,2,1,1,19462390.65,51,1,100,1,3,,40,216,2,0,120,1,60,0,,8,60,495,0,120,0,65,690
1,2012,2.01201E+13,2,18,0,11,4,,,1,2,2,1,1,1853468.483,33,2,100,1,2,,40,216,2,99,9999,99,9999,1,,8,45,528,120,540,0,20,0
1,2012,2.01201E+13,4,4,6,11,1,,,0,999,1,1,1,4858616.472,74,1,100,3,2,,20,112,1,99,9999,99,9999,99,,8,85,600,0,400,0,65,0
1,2012,2.01201E+13,4,53,6,15,2,,,0,999,2,1,1,10895515.44,73,1,100,1,3,,21,112,1,99,9999,99,9999,1,,7,0,570,0,622,0,6,0
1,2012,2.01201E+13,3,12,5,11,3,,,1,4,2,1,1,2314315.068,44,1,100,1,2,,30,112,2,0,140,1,55,1,,7,75,675,0,0,0,40,535
1,2012,2.01201E+13,1,25,2,10,1,,,0,999,1,1,1,5641968.961,62,2,100,4,1,,30,112,2,0,134,1,40,99,,10,30,705,0,0,60,70,340
1,2012,2.01201E+13,4,53,6,13,5,,,1,7,2,1,1,7001900.846,38,1,100,1,99,,21,112,2,0,200,1,40,1,,999,75,450,0,40,0,115,375
1,2012,2.01201E+13,3,48,2,11,3,,,0,999,3,1,1,3531745.87,71,1,100,1,2,,10,101,2,0,132,2,33,0,,9,225,525,0,0,0,29,660
1,2012,2.01201E+13,4,8,2,6,1,,,0,999,1,1,1,5508366.107,75,2,100,3,3,,21,112,2,99,9999,99,9999,99,,6,40,505,0,703,125,20,0
1,2012,2.01201E+13,4,8,5,7,1,,,0,999,1,1,1,8184423.845,27,1,100,6,4,,30,213,2,99,9999,99,9999,99,,4,60,572,0,315,180,43,60
1,2012,2.01201E+13,2,19,3,13,3,,,1,11,1,1,1,1871860.956,37,2,100,4,1,,30,213,2,0,120,1,40,99,,5,20,690,0,200,0,0,60
1,2012,2.01201E+13,3,28,0,15,3,,,1,17,2,1,1,1867405.897,56,1,100,1,3,,42,320,2,1,127,2,34,1,,7,75,555,175,121,0,35,0
1,2012,2.01201E+13,4,6,6,11,2,,,0,999,2,1,1,4954003.816,57,2,100,1,2,,30,213,2,99,9999,99,9999,0,,6,80,520,20,460,0,80,0
1,2012,2.01201E+13,2,26,6,14,2,,,0,999,2,1,1,10247773.09,74,1,100,1,4,,41,319,1,99,9999,99,9999,1,,5,45,540,0,275,0,105,0
1,2012,2.01201E+13,1,36,7,15,2,,,0,999,2,1,1,1204579.373,37,1,100,2,1,,40,216,2,0,110,1,40,0,,6,200,720,60,240,0,130,0
1,2012,2.01201E+13,3,13,6,9,3,,,1,13,2,1,1,2250161.993,46,2,131,4,2,,32,214,2,0,150,1,35,99,,5,180,710,0,30,0,88,0
1,2012,2.01201E+13,3,1,5,10,2,,,0,999,2,1,1,4472169.649,64,1,110,1,4,,30,214,1,99,9999,99,9999,1,,7,50,535,0,755,0,75,0
1,2012,2.01201E+13,2,26,4,15,3,,,1,17,2,1,1,13534533.47,17,1,100,6,99,,15,110,2,99,9999,99,9999,99,,999,20,680,0,279,0,32,0
1,2012,2.01201E+13,2,27,6,10,1,,,0,999,1,1,1,3902870.535,63,1,100,3,1,,40,216,2,0,140,1,40,99,,6,30,555,0,650,0,135,0
1,2012,2.01201E+13,4,6,0,14,2,,,0,999,2,1,1,4075289.698,58,1,100,1,5,,41,318,2,0,125,2,3,1,,7,149,660,0,430,0,20,0
1,2012,2.01201E+13,3,48,7,6,1,,,0,999,1,1,1,1603474,57,1,110,5,4,,16,111,2,0,180,1,9995,99,,5,15,945,0,0,0,240,0
1,2012,2.01201E+13,3,1,2,11,1,,,0,999,1,1,1,853402.4643,62,2,110,4,1,,41,318,2,0,134,2,29,99,,9,70,600,120,190,75,105,0
1,2012,2.01201E+13,2,39,0,14,5,,,1,17,4,1,1,4085503.608,47,2,100,1,2,,21,112,2,0,150,1,40,1,,8,45,540,0,196,0,110,0
1,2012,2.01201E+13,4,6,4,8,3,,,1,7,2,1,1,3353069.316,50,1,100,2,3,,13,107,2,0,190,1,40,99,,3,20,660,0,460,0,0,0
1,2012,2.01201E+13,1,23,0,7,1,,,0,999,1,1,1,2851288.851,69,2,100,4,2,,17,112,2,99,9999,99,9999,99,,9,120,540,0,615,0,110,0
1,2012,2.01201E+13,3,1,5,4,1,,,0,999,1,1,1,3057959.694,85,2,110,3,2,,14,109,2,99,9999,99,9999,99,,8,18,645,0,547,0,50,0
1,2012,2.01201E+13,3,11,6,4,2,,,0,999,2,1,1,6392396.005,47,1,110,6,3,,30,112,2,99,9999,99,9999,99,,5,30,660,0,390,0,0,240
1,2012,2.01201E+13,1,33,0,4,1,,,0,999,1,1,1,4434081.978,85,2,100,3,2,,30,213,2,99,9999,99,9999,99,,5,67,618,60,545,0,4,0
1,2012,2.01201E+13,2,27,0,14,2,,,0,999,2,1,1,4558674.012,57,2,100,1,3,,41,319,2,0,123,1,80,1,,8,90,598,0,360,0,63,259
1,2012,2.01201E+13,1,34,7,14,2,,,0,999,2,1,1,10265358.6,68,1,100,1,1,,40,318,1,99,9999,99,9999,1,,8,120,480,0,197,0,43,0
1,2012,2.01201E+13,2,29,0,9,5,,,1,14,3,1,1,3671464.773,47,2,200,1,2,,31,214,2,0,134,2,9995,1,,10,100,560,60,273,0,67,0
1,2012,2.01201E+13,2,19,0,7,1,,,0,999,1,1,1,1197420.261,28,2,110,6,4,,41,319,2,0,125,1,40,99,,6,35,630,80,260,0,50,0
1,2012,2.01201E+13,3,24,6,12,4,,,1,7,2,1,1,2463766.787,44,1,100,1,2,,21,112,2,0,110,1,50,1,,5,30,580,0,275,0,30,0
1,2012,2.01201E+13,4,6,6,13,1,,,0,999,1,1,1,1055680.286,70,2,110,3,1,,40,216,2,99,9999,99,9999,99,,8,35,375,0,695,0,0,0
